STORE_ID,BUSINESS_MONTH,TOTAL_SALES,TOTAL_ORDER,DELIVERY_SALES,NON_DELIVERY_SALES,DELIVERY_ORDER,NON_DELIVERY_ORDER,DINEIN_SALES,DINEIN_ORDER,TAKEAWAY_SALES,TAKEAWAY_ORDER,DNP_ORDER,SWIGGY_DELIVERY_SALES,SWIGGY_DELIVERY_ORDER,ZOMATO_DELIVERY_SALES,ZOMATO_DELIVERY_ORDER,AMAZON_FOODS_DELIVERY_SALES,AMAZON_FOODS_DELIVERY_ORDER,AMAZON_FOODS_DINEIN_SALES,AMAZON_FOODS_DINEIN_ORDER,AMAZON_FOODS_TAKEAWAY_SALES,AMAZON_FOODS_TAKEAWAY_ORDER,GPAY_DELIVERY_SALES,GPAY_DELIVERY_ORDER,GPAY_DINEIN_SALES,GPAY_DINEIN_ORDER,GPAY_TAKEAWAY_SALES,GPAY_TAKEAWAY_ORDER,PAYTM_MICROAPP_DELIVERY_SALES,PAYTM_MICROAPP_DELIVERY_ORDER,PAYTM_MICROAPP_TAKEAWAY_SALES,PAYTM_MICROAPP_TAKEAWAY_ORDER,PAYTM_MICROAPP_DINEIN_SALES,PAYTM_MICROAPP_DINEIN_ORDER,PHONEPE_DELIVERY_SALES,PHONEPE_DELIVERY_ORDER,DESKTOP_DELIVERY_SALES,DESKTOP_DELIVERY_ORDER,DESKTOP_TAKEAWAY_SALES,DESKTOP_TAKEAWAY_ORDER,IRCTC_DELIVERY_SALES,IRCTC_DELIVERY_ORDER,NEW_APP_ANDROID_DELIVERY_SALES,NEW_APP_ANDROID_DELIVERY_ORDER,NEW_APP_ANDROID_DINEIN_SALES,NEW_APP_ANDROID_DINEIN_ORDER,NEW_APP_ANDROID_DRIVE_PICK_SALES,NEW_APP_ANDROID_DRIVE_PICK_ORDER,NEW_APP_ANDROID_TAKEAWAY_SALES,NEW_APP_ANDROID_TAKEAWAY_ORDER,NEW_APP_IPHONE_DELIVERY_SALES,NEW_APP_IPHONE_DELIVERY_ORDER,NEW_APP_IPHONE_DRIVE_PICK_SALES,NEW_APP_IPHONE_DRIVE_PICK_ORDER,NEW_APP_IPHONE_TAKEAWAY_SALES,NEW_APP_IPHONE_TAKEAWAY_ORDER,PWA_DELIVERY_SALES,PWA_DELIVERY_ORDER,PWA_DINEIN_SALES,PWA_DINEIN_ORDER,PWA_TAKEAWAY_SALES,PWA_TAKEAWAY_ORDER,CALL_CENTER_DELIVERY_SALES,CALL_CENTER_DELIVERY_ORDER,CALL_CENTER_TAKEAWAY_SALES,CALL_CENTER_TAKEAWAY_ORDER,PHONE_DELIVERY_SALES,PHONE_DELIVERY_ORDER,DINEIN_CHANNEL_SALES,DINEIN_CHANNEL_ORDER,ODC_DINEIN_SALES,ODC_DINEIN_ORDER,DINEIN_TAKEAWAY_SALES,DINEIN_TAKEAWAY_ORDER,KIOSK_DINEIN_SALES,KIOSK_DINEIN_ORDER,KIOSK_TAKEAWAY_SALES,KIOSK_TAKEAWAY_ORDER,OLD_APP_ANDROID_TAKEAWAY_SALES,OLD_APP_ANDROID_TAKEAWAY_ORDER,OLD_APP_IPHONE_TAKEAWAY_SALES,OLD_APP_IPHONE_TAKEAWAY_ORDER
AAI64431,9/4/2022,1394139.49,3146,376679.96,1117459.53,611,3536,779131.7,1951,339339.93,696,1,19119.33,41,53391.33,133,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,399.96,1,769,13,,1,116939.45,349,33314.73,73,,1,37961.14,94,99353.33,179,,1,44135.36,99,6399.66,11,613.9,3,3179.57,7,1441.93,5,3944.57,13,959.37,5,731159.14,1731,,1,339453.19,461,,1,,1,,1,,1
AAI66633,9/4/2022,1573355.64,3646,963691.63,719664.11,3191,1556,373593.95,673,437191.16,993,1,114719.3,361,179911.69,417,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,3466.9,4,,1,,1,457149.35,1136,16193.1,49,,1,54733.54,176,79431.13,173,,1,9697.99,15,33374.33,73,515,4,3791.66,11,9993.49,31,651.57,1,949.66,17,354133.93,619,,1,369337.5,691,,1,,1,,1,,1
AAI64147,9/4/2022,3917339.51,9511,3964913.63,943336.99,6197,3414,147413.33,495,694933.65,1919,1,431911.19,999,697373.14,1497,,1,,1,,1,,1,,1,,1,3331.31,5,159,1,,1,,1,34337.67,37,1763,6,,1,1161511.49,3355,19911.43,61,,1,166445.93,411,531511.93,1131,,1,71615.99,146,93936.19,179,3166.39,5,17959.33,45,36973.7,51,4911.39,11,36351.13,67,114399.4,413,,1,433191.34,1399,,1,,1,,1,,1
AAI64491,9/4/2022,1439196.19,3147,771331.3,657774.99,1536,1631,411579.45,1117,346196.43,614,1,159119.35,336,134196.93,355,,1,,1,,1,,1,,1,,1,331.33,1,,1,,1,,1,3361.94,7,,1,,1,396147.15,614,39599.1,96,,1,43941.36,115,131564.9,344,,1,11919.43,33,39373.69,44,3139.14,3,3147,9,3513.61,4,,1,36134.31,41,353353.69,996,,1,199399.64,469,,1,,1,,1,,1
AAI66339,9/4/2022,3959915.67,7514,1934739.94,1134176.73,3594,3931,964193.69,3339,169993.14,591,1,313417.9,591,433549.14,761,,1,,1,,1,,1,,1,,1,1416.95,4,459,1,,1,,1,33313.31,36,,1,,1,617313.33,1345,133916,393,,1,65333.33,347,357999.53,661,,1,37933.31,94,67375.9,133,6637.55,19,4991.51,16,31669.63,39,6153.33,9,915.46,39,793151.14,3913,,1,65333.67,334,,1,,1,,1,,1
AAI66163,9/4/2022,3757477.39,7419,1979619.71,977957.69,4615,3914,377743.19,1313,511115.5,1593,1,147636.44,356,419575.36,969,,1,,1,,1,,1,,1,,1,511.33,1,,1,,1,,1,3953.94,9,,1,,1,999919.53,3399,65399.91,176,,1,97119.93,311,366131.53,765,,1,55431.3,114,39193.71,94,731.14,3,5439.99,19,9699.93,19,6574.99,13,4311.35,34,391911.93,999,,1,335573.5,1137,,1,,1,,1,,1
AAI66559,9/4/2022,1915336.19,4411,1139695.77,776641.41,3375,3135,379961.4,657,497791.11,1379,1,91391.77,199,317596.95,617,,1,,1,,1,,1,,1,,1,611.93,1,,1,,1,,1,4145.97,7,4996,3,,1,513391.93,1136,39333.45,71,,1,73377.67,199,197911.93,365,,1,35463.39,71,39951.93,53,1911,3,5161.33,9,4513.9,6,1355,3,513.76,13,333313.13,559,,1,379937.73,1196,,1,,1,,1,,1
AAI63973,9/4/2022,1449451.67,3944,917374.11,641177.56,3113,1941,394397.39,1143,356691.39,799,1,114173.64,313,136739.69,349,,1,,1,,1,,1,,1,,1,,1,196,3,,1,,1,3445.51,6,,1,,1,457315.47,1316,19764.61,63,,1,33997.79,133,61166.57,154,,1,6111.34,19,31316.71,45,933,4,1766.14,6,4919.33,13,364,1,9439.3,39,359935.79,963,,1,314366.13,649,,1,,1,,1,,1
AAI66141,9/4/2022,3466464.65,6161,1139199.16,1437375.59,3494,3576,613715.3,1553,913561.39,3134,1,71151.56,151,174164.73,399,,1,,1,,1,,1,,1,,1,733.66,3,419,3,,1,,1,934.9,3,311.9,1,,1,555113.13,1439,99117.91,361,,1,146333.47,441,191613.53,396,,1,59631.96,136,33341.99,63,5333.33,17,14199.79,39,19635.6,35,9915.33,33,14731.17,19,477195.79,1314,,1,593991.95,1393,,1,,1,,1,,1
AAI64391,9/4/2022,3373313.55,4659,1154516.61,1317716.94,3111,3549,316999.11,599,1111717.93,1951,1,131153.55,361,339314.19,469,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,3574.51,4,,1,,1,491513.1,1114,36557.39,74,,1,159994.4,344,135691.55,344,,1,43611.11,99,43317.95,79,1334.39,3,15671.35,33,35445.4,43,35315.1,41,5519.56,11,369991.67,513,,1,757136.97,1455,,1,,1,,1,,1
AAI64171,9/4/2022,1167911.33,3116,663995.49,414915.95,1654,1353,134613.1,394,391193.75,969,1,35195.36,73,141993.16,334,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,499.63,1,,1,,1,331377.11,993,37416.71,97,,1,64943.19,311,139643.17,313,,1,33696.65,64,34175.4,46,559,3,1645.14,7,3344.75,5,179,1,,1,91577.14,366,,1,191939.97,695,,1,,1,,1,,1
AAI66645,9/4/2022,3139374.14,5744,1536191.45,613393.69,3453,3393,313531.19,1131,399773.61,1171,1,59993.19,139,114149.94,391,,1,,1,,1,,1,,1,,1,369.49,1,,1,,1,,1,3111.39,9,1791,3,494163.33,931,661963.37,1695,45133.77,143,,1,64315.6,315,141974.75,311,,1,13976.54,37,33361.36,71,1731,5,4169,9,14751.43,39,3479.33,11,13555.43,31,343564.55,941,,1,311353.15,997,,1,,1,,1,,1
AAI63997,9/4/2022,1611951.91,4111,1174941.33,437111.49,3953,1159,149197.31,471,399913.17,699,1,143371.37,353,319159.51,735,,1,,1,,1,,1,,1,,1,,1,149,1,,1,,1,6311.56,3,391,1,,1,597366.39,1513,33391.93,119,,1,56616.11,194,93599.97,171,,1,36999.37,39,39437.37,59,3764.37,14,3517.66,9,3719.71,6,911,1,3997.76,34,119964.61,337,,1,311561.13,453,,1,,1,,1,,1
AAI66994,9/4/2022,949191.41,1599,99353.79,749936.63,114,1474,454957.49,1131,393979.14,354,1,31937.3,17,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,11957.91,3,917,1,,1,34335.17,67,9579.17,33,,1,33199.33,55,19169.91,7,,1,11146.14,13,,1,,1,4159.14,5,,1,,1,13163.69,31,443643.71,1179,,1,344669.63,391,,1,,1,,1,,1
AAI66341,9/4/2022,3515771.77,7759,3753363.61,763519.16,5997,1961,499171.99,1346,374436.39,615,1,979314.15,1711,594569.93,1369,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,33349.74,41,1146,3,,1,949171.35,3139,75499.39,199,,1,49139.16,161,314413.34,593,,1,9715.96,31,75979.19,151,993,4,11111.43,34,15369.96,9,3733.66,9,1317.37,7,399494.37,999,,1,311931.19,399,,1,,1,,1,,1
AAI65933,9/4/2022,4199491.51,9143,3966135.19,1133466.43,6171,3173,735411.1,3136,419155.33,1136,1,614545.39,1199,519343.19,1191,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,45319.73,61,1169.37,3,,1,1357995.5,3679,51371.49,131,,1,91945.19,369,419159.1,937,,1,31111.49,79,93934.71,161,1913,6,16797.33,34,37931.96,39,3313.71,11,11137.53,39,651931.59,1964,,1,375139.46,653,,1,,1,,1,,1
AAI66313,9/4/2022,3961563.13,9793,3613195.59,1357476.53,6139,3764,699173.11,3195,569314.43,1579,1,399735.15,935,591936.1,1399,,1,,1,,1,,1,,1,,1,1311.33,3,433,3,,1,,1,16349.4,31,677,7,,1,999339.33,3513,43996.66,135,,1,119614.74,313,479957.66,999,,1,56317.39,133,93593.95,166,594,3,14135.94,33,46956.33,44,9193.41,19,19149.56,63,634631.69,3117,,1,377943.94,1194,,1,,1,,1,,1
